LICENSEE,DBA,LICENSE,ADDRESS,CITY,ZIP ,AddLong,y,x,url
HIGHWAY 40 LLC,BONFIRE CANNABIS COMPANY,402R-00574,8 County Road 821,Tabernash,80478,8 County Road 821 Tabernash CO 80478,39.992964,-105.844716,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=8%20County%20Road%20821%20Tabernash%20CO%2080478
HOBBY FARMS LLC,A CUT ABOVE,402R-00587,1911 South Broadway,Denver,80210,1911 South Broadway Denver CO 80210,39.681767,-104.987658,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1911%20South%20Broadway%20Denver%20CO%2080210
HOLLY MEDICINAL SERVICES LLC,THE CLINIC ON COLORADO,402R-00079,2020 South Colorado Boulevard,Denver,80222,2020 South Colorado Boulevard Denver CO 80222,39.679703,-104.940674,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2020%20South%20Colorado%20Boulevard%20Denver%20CO%2080222
HQ CLIFFS LLC,HIGH Q PALISADE,402R-00714,"528 Iowa Avenue, Units A & B",Palisade,81526,"528 Iowa Avenue, Units A & B Palisade CO 81526",40.833491,-95.306174,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=528%20Iowa%20Avenue,%20Units%20A%20&%20B%20Palisade%20CO%2081526"
HQ LLC,HIGH Q,402R-00332,730 Main Street,Silt,81652,730 Main Street Silt CO 81652,39.54702,-107.654919,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=730%20Main%20Street%20Silt%20CO%2081652
HQ SOPRIS LLC,HIGH Q,402R-00705,922 Highway 133,Carbondale,81623,922 Highway 133 Carbondale CO 81623,39.404258,-107.220956,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=922%20Highway%20133%20Carbondale%20CO%2081623
I&S LLC,SILVER STEM FINE CANNABIS,402R-00729,1110 West Virginia Avenue #1,Denver,80223,1110 West Virginia Avenue #1 Denver CO 80223,40.718738,-89.610316,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1110%20West%20Virginia%20Avenue%20#1%20Denver%20CO%2080223
IDAHO SPRINGS LLC,BONFIRE CANNABIS,402R-00035,15 Colorado Boulevard,Idaho Springs,80452,15 Colorado Boulevard Idaho Springs CO 80452,39.744565,-105.532799,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=15%20Colorado%20Boulevard%20Idaho%20Springs%20CO%2080452
IEROS LLC,LIFE FLOWER DISPENSARY LLC,402R-00481,4966 Leetsdale Drive,Glendale,80246,4966 Leetsdale Drive Glendale CO 80246,39.708649,-104.929802,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4966%20Leetsdale%20Drive%20Glendale%20CO%2080246
IGADI LTD,IGADI,402R-00115,2818 Colorado Boulevard,Idaho Springs,80452,2818 Colorado Boulevard Idaho Springs CO 80452,39.741677,-105.498483,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2818%20Colorado%20Boulevard%20Idaho%20Springs%20CO%2080452
IGADI LTD,IGADI,402R-00354,"72399 US Highway 40, Unit B",Tabernash,80478,"72399 US Highway 40, Unit B Tabernash CO 80478",39.991246,-105.836715,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=72399%20US%20Highway%2040,%20Unit%20B%20Tabernash%20CO%2080478"
IGADI LTD,IGADI,402R-00461,"150 North Jefferson Street, Units B3 & B7",Nederland,80466,"150 North Jefferson Street, Units B3 & B7 Nederland CO 80466",30.545584,-83.870092,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=150%20North%20Jefferson%20Street,%20Units%20B3%20&%20B7%20Nederland%20CO%2080466"
IGADI LTD,IGADI,402R-00489,171 Lawrence Street,Central City,80427,171 Lawrence Street Central City CO 80427,39.80061,-105.510407,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=171%20Lawrence%20Street%20Central%20City%20CO%2080427
INDOOR HORTICULTURE CENTERS LLC,SANTE ALTERNATIVE WELLNESS,402R-00336,742 1/2 Main Avenue,Durango,81301,742 1/2 Main Avenue Durango CO 81301,37.271717,-107.881293,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=742%201/2%20Main%20Avenue%20Durango%20CO%2081301
J and J ENTERPRISES INC,PAGOSA THERAPEUTICS,402R-00263,235 Bastille Drive,Pagosa Springs,81147,235 Bastille Drive Pagosa Springs CO 81147,37.253793,-107.083553,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=235%20Bastille%20Drive%20Pagosa%20Springs%20CO%2081147
J and J ENTERPRISES INC,THE GREEN HOUSE,402R-00534,270 East Pagosa Street,Pagosa Springs,81147,270 East Pagosa Street Pagosa Springs CO 81147,37.268744,-107.006867,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=270%20East%20Pagosa%20Street%20Pagosa%20Springs%20CO%2081147
